scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
bench_latency,fixed_tick,add_order,4.192,126,252,336,588,12306,23940,87733338,456.6,30.1,60.1,80.2,140.3,2935.6,5710.9,20929011.2,108.9
bench_latency,fixed_tick,cancel_order,4.192,168,924,1386,1764,3990,19152,76020,895.9,40.1,220.4,330.6,420.8,951.8,4568.8,18134.8,213.7
bench_latency,fixed_tick,market_order,4.192,16590,16926,17388,30450,37926,106176,11698638,17229.7,3957.6,4037.7,4148.0,7263.9,9047.3,25328.6,2790739.9,4110.2
bench_latency,soa,add_order,4.192,126,252,336,714,1806,5082,72471588,394.2,30.1,60.1,80.2,170.3,430.8,1212.3,17288281.9,94.0
bench_latency,soa,cancel_order,4.192,168,672,1092,1386,3654,16674,106848,699.2,40.1,160.3,260.5,330.6,871.7,3977.6,25488.9,166.8
bench_latency,soa,market_order,4.192,12600,13188,14952,22596,32046,69930,491400,13608.7,3005.8,3146.0,3566.8,5390.3,7644.7,16682.0,117224.7,3246.4
bench_latency,hybrid,add_order,4.192,126,252,378,630,1554,17178,71387610,381.6,30.1,60.1,90.2,150.3,370.7,4097.9,17029696.2,91.0
bench_latency,hybrid,cancel_order,4.192,168,798,1260,1512,4032,17094,63168,801.6,40.1,190.4,300.6,360.7,961.8,4077.8,15068.9,191.2
bench_latency,hybrid,market_order,4.192,294,378,420,462,714,3276,158844,374.7,70.1,90.2,100.2,110.2,170.3,781.5,37892.6,89.4
bench_latency,tree,add_order,4.192,126,252,378,630,1386,2646,70359534,372.8,30.1,60.1,90.2,150.3,330.6,631.2,16784446.0,88.9
bench_latency,tree,cancel_order,4.192,210,798,1260,1554,4074,17388,107730,831.8,50.1,190.4,300.6,370.7,971.9,4148.0,25699.3,198.4
bench_latency,tree,market_order,4.192,420,546,714,840,1092,12222,55062,564.1,100.2,130.2,170.3,200.4,260.5,2915.6,13135.2,134.6
