scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
bench_prefetch,no_prefetch,sequential_scan_10000_levels,4.192,8526,8736,8778,8862,25914,25914,28098,8793.7,2033.9,2084.0,2094.0,2114.0,6181.7,6181.7,6702.7,2097.7
bench_prefetch,prefetch_header_plus_4,sequential_scan_10000_levels,4.192,12768,13314,19152,22302,39312,39312,57750,14536.7,3045.8,3176.0,4568.7,5320.1,9377.8,9377.8,13776.1,3467.7
bench_prefetch,prefetch_header_plus_16,sequential_scan_10000_levels,4.192,12852,13020,13902,21000,26502,26502,27174,13450.3,3065.8,3105.9,3316.3,5009.5,6322.0,6322.0,6482.3,3208.5
bench_prefetch,no_prefetch,random_access_10000_reads,4.192,17178,17976,19236,30240,33054,33054,35826,18331.0,4097.8,4288.1,4588.7,7213.7,7884.9,7884.9,8546.2,4372.8
bench_prefetch,prefetch_header_plus_1,random_access_10000_reads,4.192,25452,27594,29190,40656,47376,47376,48090,27908.5,6071.5,6582.5,6963.2,9698.4,11301.4,11301.4,11471.7,6657.5
bench_prefetch,prefetch_header_plus_4,random_access_10000_reads,4.192,28434,33558,33936,48804,88242,88242,103488,33204.5,6782.9,8005.2,8095.3,11642.1,21049.9,21049.9,24686.8,7920.9
bench_prefetch,no_prefetch,pointer_chase_10000_levels,4.192,14490,15456,15750,23562,49854,49854,137256,15551.1,3456.6,3687.0,3757.1,5620.7,11892.5,11892.5,32742.1,3709.7
bench_prefetch,prefetch_heap_plus_2,pointer_chase_10000_levels,4.192,34398,34482,34524,46872,86646,86646,131838,34946.6,8205.6,8225.6,8235.6,11181.2,20669.2,20669.2,31449.6,8336.4
bench_prefetch,prefetch_heap_plus_8,pointer_chase_10000_levels,4.192,27594,27678,27846,45150,78666,78666,123942,28285.7,6582.5,6602.5,6642.6,10770.4,18765.6,18765.6,29566.0,6747.5
bench_prefetch,no_prefetch,market_sweep_20_levels_60_orders,4.192,10458,11382,12180,19446,70056,70056,118146,11723.5,2494.7,2715.1,2905.5,4638.8,16711.7,16711.7,28183.4,2796.6
bench_prefetch,prefetch_heap_window_4,market_sweep_20_levels_60_orders,4.192,39900,40866,41706,54474,135156,135156,145320,41482.0,9518.0,9748.5,9948.9,12994.6,32241.1,32241.1,34665.7,9895.4
