scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_buildup,fixed_tick,add_depth_0_499,4.192,126,210,336,1176,13020,17430,41244,273.5,30.1,50.1,80.2,280.5,3105.9,4157.9,9838.8,65.2
scenario_buildup,fixed_tick,add_depth_2500_2999,4.192,126,210,252,336,504,1218,40614,210.1,30.1,50.1,60.1,80.2,120.2,290.6,9688.5,50.1
scenario_buildup,fixed_tick,add_depth_5000_5499,4.192,126,210,294,336,462,1176,23940,211.2,30.1,50.1,70.1,80.2,110.2,280.5,5710.9,50.4
scenario_buildup,fixed_tick,add_depth_7500_7999,4.192,126,210,294,336,546,1344,26376,214.5,30.1,50.1,70.1,80.2,130.2,320.6,6292.0,51.2
scenario_buildup,fixed_tick,add_depth_10000_10499,4.192,126,210,294,378,630,1680,27258,208.6,30.1,50.1,70.1,90.2,150.3,400.8,6502.4,49.8
scenario_buildup,soa,add_depth_0_499,4.192,126,378,546,1344,13230,16422,71904,438.4,30.1,90.2,130.2,320.6,3156.0,3917.5,17152.7,104.6
scenario_buildup,soa,add_depth_2500_2999,4.192,126,378,462,588,840,3948,70980,347.3,30.1,90.2,110.2,140.3,200.4,941.8,16932.3,82.9
scenario_buildup,soa,add_depth_5000_5499,4.192,126,378,462,546,798,4074,57792,324.9,30.1,90.2,110.2,130.2,190.4,971.9,13786.3,77.5
scenario_buildup,soa,add_depth_7500_7999,4.192,126,252,462,546,840,4074,70434,308.0,30.1,60.1,110.2,130.2,200.4,971.9,16802.0,73.5
scenario_buildup,soa,add_depth_10000_10499,4.192,126,210,462,546,840,1680,52416,287.6,30.1,50.1,110.2,130.2,200.4,400.8,12503.8,68.6
scenario_buildup,hybrid,add_depth_0_499,4.192,126,378,630,1302,13062,15372,33684,445.5,30.1,90.2,150.3,310.6,3115.9,3667.0,8035.3,106.3
scenario_buildup,hybrid,add_depth_2500_2999,4.192,126,420,588,756,924,5838,24528,411.2,30.1,100.2,140.3,180.3,220.4,1392.7,5851.2,98.1
scenario_buildup,hybrid,add_depth_5000_5499,4.192,126,420,588,756,1008,12180,22806,405.7,30.1,100.2,140.3,180.3,240.5,2905.5,5440.4,96.8
scenario_buildup,hybrid,add_depth_7500_7999,4.192,126,378,588,714,1050,4872,21840,399.0,30.1,90.2,140.3,170.3,250.5,1162.2,5209.9,95.2
scenario_buildup,hybrid,add_depth_10000_10499,4.192,126,378,546,714,1008,4788,24486,387.3,30.1,90.2,130.2,170.3,240.5,1142.2,5841.1,92.4
scenario_buildup,tree,add_depth_0_499,4.192,126,378,588,1302,13020,15750,59808,443.9,30.1,90.2,140.3,310.6,3105.9,3757.2,14267.2,105.9
scenario_buildup,tree,add_depth_2500_2999,4.192,168,420,588,756,924,12936,208782,410.9,40.1,100.2,140.3,180.3,220.4,3085.9,49805.0,98.0
scenario_buildup,tree,add_depth_5000_5499,4.192,168,420,588,714,1008,12516,173124,405.2,40.1,100.2,140.3,170.3,240.5,2985.7,41298.7,96.7
scenario_buildup,tree,add_depth_7500_7999,4.192,168,378,588,714,1050,13104,73122,399.5,40.1,90.2,140.3,170.3,250.5,3126.0,17443.3,95.3
scenario_buildup,tree,add_depth_10000_10499,4.192,168,378,546,714,1050,5208,52458,388.1,40.1,90.2,130.2,170.3,250.5,1242.4,12513.9,92.6
