scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_bursty,fixed_tick,add_order,4.192,126,168,420,588,5502,100758,295806,233.5,30.1,40.1,100.2,140.3,1312.5,24036.4,70566.2,55.7
scenario_bursty,fixed_tick,cancel_order,4.192,126,252,294,336,546,3192,93240,246.0,30.1,60.1,70.1,80.2,130.3,761.5,22242.9,58.7
scenario_bursty,fixed_tick,market_order,4.192,16884,17010,17262,25830,35280,70434,177912,17242.4,4027.8,4057.8,4118.0,6161.9,8416.3,16802.4,42441.9,4113.3
scenario_bursty,soa,add_order,4.192,126,168,630,924,4032,101892,160314,283.5,30.1,40.1,150.3,220.4,961.9,24306.9,38243.8,67.6
scenario_bursty,soa,cancel_order,4.192,126,294,336,378,504,3486,23268,278.9,30.1,70.1,80.2,90.2,120.2,831.6,5550.7,66.5
scenario_bursty,soa,market_order,4.192,11844,12516,13860,18438,29484,59808,4342632,12977.7,2825.5,2985.8,3306.4,4398.5,7033.6,14267.5,1035960.2,3095.9
scenario_bursty,hybrid,add_order,4.192,126,168,462,630,3738,100842,124068,245.1,30.1,40.1,110.2,150.3,891.7,24056.4,29597.1,58.5
scenario_bursty,hybrid,cancel_order,4.192,126,252,462,630,924,11928,35910,268.5,30.1,60.1,110.2,150.3,220.4,2845.5,8566.5,64.0
scenario_bursty,hybrid,market_order,4.192,336,420,504,504,630,3276,26040,420.2,80.2,100.2,120.2,120.2,150.3,781.5,6212.0,100.3
scenario_bursty,tree,add_order,4.192,126,252,546,756,3948,100800,167286,321.0,30.1,60.1,130.3,180.3,941.8,24046.4,39907.1,76.6
scenario_bursty,tree,cancel_order,4.192,168,336,588,756,1092,18144,106974,367.4,40.1,80.2,140.3,180.3,260.5,4328.4,25519.3,87.6
scenario_bursty,tree,market_order,4.192,252,378,588,714,798,10500,87066,380.3,60.1,90.2,140.3,170.3,190.4,2504.8,20770.1,90.7
