scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_clustered,fixed_tick,add_order,4.192,126,168,294,546,10206,424872,752178,275.0,30.1,40.1,70.1,130.2,2434.7,101354.1,179433.6,65.6
scenario_clustered,fixed_tick,cancel_order,4.192,126,336,546,630,924,11508,70518,363.7,30.1,80.2,130.2,150.3,220.4,2745.3,16822.2,86.8
scenario_clustered,fixed_tick,market_order,4.192,378,17052,17304,20454,33096,65268,4309242,16399.2,90.2,4067.8,4127.9,4879.3,7895.1,15569.8,1027978.2,3912.1
scenario_clustered,soa,add_order,4.192,126,168,504,1008,1890,161280,543648,256.6,30.1,40.1,120.2,240.5,450.9,38473.7,129688.3,61.2
scenario_clustered,soa,cancel_order,4.192,126,336,504,588,840,3612,139104,361.1,30.1,80.2,120.2,140.3,200.4,861.6,33183.5,86.1
scenario_clustered,soa,market_order,4.192,378,14070,14322,21504,31206,74634,258636,13497.0,90.2,3356.4,3416.5,5129.8,7444.3,17804.1,61698.1,3219.7
scenario_clustered,hybrid,add_order,4.192,126,168,462,672,1302,121506,581826,235.1,30.1,40.1,110.2,160.3,310.6,28985.5,138795.7,56.1
scenario_clustered,hybrid,cancel_order,4.192,126,378,588,714,1050,13062,248892,380.0,30.1,90.2,140.3,170.3,250.5,3116.0,59373.7,90.6
scenario_clustered,hybrid,market_order,4.192,336,420,588,672,798,11550,103110,446.7,80.2,100.2,140.3,160.3,190.4,2755.3,24597.1,106.6
scenario_clustered,tree,add_order,4.192,126,210,462,714,1470,175224,522942,296.4,30.1,50.1,110.2,170.3,350.7,41800.0,124748.8,70.7
scenario_clustered,tree,cancel_order,4.192,168,462,630,756,1134,31626,60690,458.6,40.1,110.2,150.3,180.3,270.5,7544.4,14477.7,109.4
scenario_clustered,tree,market_order,4.192,294,378,630,714,798,3276,61698,409.0,70.1,90.2,150.3,170.3,190.4,781.5,14718.2,97.6
