scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_high_cancel,fixed_tick,add_order,4.192,126,126,168,210,378,4872,65268,149.4,30.1,30.1,40.1,50.1,90.2,1162.2,15569.8,35.6
scenario_high_cancel,fixed_tick,cancel_order,4.192,126,210,252,252,336,1050,90468,194.9,30.1,50.1,60.1,60.1,80.2,250.5,21581.3,46.5
scenario_high_cancel,fixed_tick,market_order,4.192,8946,12852,13020,16422,31668,74886,126840,11881.1,2134.1,3065.9,3105.9,3917.5,7554.5,17864.2,30258.0,2834.3
scenario_high_cancel,soa,add_order,4.192,126,168,210,252,630,4998,61908,163.8,30.1,40.1,50.1,60.1,150.3,1192.3,14768.3,39.1
scenario_high_cancel,soa,cancel_order,4.192,126,210,294,294,378,3402,151746,227.1,30.1,50.1,70.1,70.1,90.2,811.6,36199.3,54.2
scenario_high_cancel,soa,market_order,4.192,10164,13566,15918,24822,56070,79632,138642,13094.8,2424.6,3236.2,3797.3,5921.3,13375.6,18996.4,33073.4,3123.8
scenario_high_cancel,hybrid,add_order,4.192,126,126,210,210,378,4872,93870,147.7,30.1,30.1,50.1,50.1,90.2,1162.2,22392.9,35.2
scenario_high_cancel,hybrid,cancel_order,4.192,126,210,252,294,378,1092,132804,196.0,30.1,50.1,60.1,70.1,90.2,260.5,31680.7,46.8
scenario_high_cancel,hybrid,market_order,4.192,336,378,462,672,924,14784,61740,409.1,80.2,90.2,110.2,160.3,220.4,3526.8,14728.2,97.6
scenario_high_cancel,tree,add_order,4.192,126,210,378,462,588,5376,48762,248.4,30.1,50.1,90.2,110.2,140.3,1282.5,11632.3,59.3
scenario_high_cancel,tree,cancel_order,4.192,126,252,420,504,588,3486,50274,285.2,30.1,60.1,100.2,120.2,140.3,831.6,11993.0,68.0
scenario_high_cancel,tree,market_order,4.192,252,462,546,588,756,11970,49350,464.7,60.1,110.2,130.2,140.3,180.3,2855.5,11772.5,110.9
