scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_steady_state,fixed_tick,add_order,4.192,126,168,210,252,462,3024,165186,159.9,30.1,40.1,50.1,60.1,110.2,721.4,39405.6,38.2
scenario_steady_state,fixed_tick,cancel_order,4.192,126,252,294,336,504,1722,125328,247.5,30.1,60.1,70.1,80.2,120.2,410.8,29897.4,59.0
scenario_steady_state,fixed_tick,market_order_qty_300,4.192,9030,10668,11046,13524,24402,56238,4435116,10615.8,2154.1,2544.9,2635.1,3226.2,5821.2,13415.8,1058010.8,2532.4
scenario_steady_state,soa,add_order,4.192,126,168,252,294,1176,2352,110502,191.8,30.1,40.1,60.1,70.1,280.5,561.1,26360.6,45.8
scenario_steady_state,soa,cancel_order,4.192,126,378,462,504,1554,3906,98574,367.3,30.1,90.2,110.2,120.2,370.7,931.8,23515.1,87.6
scenario_steady_state,soa,market_order_qty_300,4.192,11298,14742,16968,25032,48342,71484,189840,15323.2,2695.2,3516.8,4047.8,5971.5,11532.1,17052.7,45286.9,3655.4
scenario_steady_state,hybrid,add_order,4.192,126,168,168,210,420,1092,107142,154.7,30.1,40.1,40.1,50.1,100.2,260.5,25559.1,36.9
scenario_steady_state,hybrid,cancel_order,4.192,126,210,294,294,336,2898,96096,232.7,30.1,50.1,70.1,70.1,80.2,691.3,22924.0,55.5
scenario_steady_state,hybrid,market_order_qty_300,4.192,462,966,1092,1176,1764,14322,105168,938.5,110.2,230.4,260.5,280.5,420.8,3416.6,25088.2,223.9
scenario_steady_state,tree,add_order,4.192,126,252,378,462,630,3444,117138,256.5,30.1,60.1,90.2,110.2,150.3,821.6,27943.6,61.2
scenario_steady_state,tree,cancel_order,4.192,168,294,336,378,546,3066,108570,290.2,40.1,70.1,80.2,90.2,130.3,731.4,25899.7,69.2
scenario_steady_state,tree,market_order_qty_300,4.192,420,1050,1218,1302,1470,14910,116634,1024.5,100.2,250.5,290.6,310.6,350.7,3556.8,27823.4,244.4
