scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_sweep,fixed_tick,small_buy_sweep,4.192,13566,14028,14280,26754,44100,75138,393624,14359.8,3236.2,3346.4,3406.5,6382.2,10520.1,17924.3,93899.8,3425.6
scenario_sweep,fixed_tick,small_sell_sweep,4.192,9660,10290,10920,18732,28686,68292,107100,10496.4,2304.4,2454.7,2605.0,4468.6,6843.1,16291.2,25548.9,2503.9
scenario_sweep,fixed_tick,medium_buy_sweep,4.192,16128,16926,17388,30954,39942,85806,201642,17300.6,3847.4,4037.7,4147.9,7384.1,9528.2,20469.2,48102.1,4127.1
scenario_sweep,fixed_tick,medium_sell_sweep,4.192,12180,13524,14364,23856,32172,76188,237090,13843.5,2905.6,3226.2,3426.6,5690.9,7674.7,18174.8,56558.3,3302.4
scenario_sweep,fixed_tick,large_buy_sweep,4.192,20790,22344,23058,32340,41412,59430,115122,22471.8,4959.5,5330.2,5500.5,7714.8,9878.9,14177.2,27462.6,5360.7
scenario_sweep,fixed_tick,large_sell_sweep,4.192,17052,19446,20244,24780,35574,52920,124908,19497.3,4067.8,4638.9,4829.2,5911.3,8486.3,12624.2,29797.1,4651.1
scenario_sweep,fixed_tick,cross_zone_buy_sweep,4.192,35700,39858,42000,53130,68838,86184,185598,39969.6,8516.3,9508.2,10019.2,12674.3,16421.5,20559.4,44274.8,9534.8
scenario_sweep,fixed_tick,cross_zone_sell_sweep,4.192,31836,37170,39774,50022,61740,81186,326676,37284.7,7594.5,8867.0,9488.2,11932.9,14728.2,19367.1,77929.3,8894.4
scenario_sweep,soa,small_buy_sweep,4.192,13650,16170,17052,22848,43218,59136,117474,15740.7,3256.2,3857.4,4067.8,5450.4,10309.7,14107.0,28023.7,3755.0
scenario_sweep,soa,small_sell_sweep,4.192,13986,15036,15498,22386,42882,56826,111132,14974.6,3336.4,3586.9,3697.1,5340.2,10229.6,13556.0,26510.8,3572.2
scenario_sweep,soa,medium_buy_sweep,4.192,16548,19320,20706,31080,50862,66654,318612,19305.6,3947.6,4608.8,4939.5,7414.2,12133.2,15900.5,76005.6,4605.4
scenario_sweep,soa,medium_sell_sweep,4.192,16842,18144,19026,30450,49938,65562,109746,18334.3,4017.7,4328.3,4538.7,7263.9,11912.8,15640.0,26180.1,4373.7
scenario_sweep,soa,large_buy_sweep,4.192,21756,25158,27510,40278,61152,76440,3494064,25622.4,5189.9,6001.5,6562.6,9608.4,14587.9,18234.9,833516.4,6112.3
scenario_sweep,soa,large_sell_sweep,4.192,21882,24318,27636,39774,60900,77070,120330,24918.6,5220.0,5801.1,6592.6,9488.2,14527.8,18385.2,28705.0,5944.4
scenario_sweep,soa,cross_zone_buy_sweep,4.192,39942,45150,48090,63000,91770,106512,187488,45591.0,9528.2,10770.6,11472.0,15028.8,21891.9,25408.7,44725.7,10875.8
scenario_sweep,soa,cross_zone_sell_sweep,4.192,39522,43806,46830,61278,90048,105000,172578,44198.2,9428.1,10450.0,11171.4,14618.0,21481.1,25048.0,41168.8,10543.6
scenario_sweep,hybrid,small_buy_sweep,4.192,1344,1512,1680,1764,3192,18228,55440,1541.1,320.6,360.7,400.8,420.8,761.5,4348.3,13225.3,367.6
scenario_sweep,hybrid,small_sell_sweep,4.192,1344,1512,1722,1764,3150,16632,79884,1546.0,320.6,360.7,410.8,420.8,751.4,3967.6,19056.5,368.8
scenario_sweep,hybrid,medium_buy_sweep,4.192,5124,5796,6174,6342,18354,20748,63126,5809.9,1222.3,1382.6,1472.8,1512.9,4378.4,4949.5,15058.8,1386.0
scenario_sweep,hybrid,medium_sell_sweep,4.192,5124,5796,6216,6384,18354,20958,137760,5841.3,1222.3,1382.6,1482.8,1522.9,4378.4,4999.6,32862.9,1393.4
scenario_sweep,hybrid,large_buy_sweep,4.192,12348,14154,15078,16254,30114,60438,105672,14239.6,2945.6,3376.5,3596.9,3877.4,7183.8,14417.6,25208.3,3396.9
scenario_sweep,hybrid,large_sell_sweep,4.192,12768,14322,15204,16548,30492,60816,88452,14385.0,3045.8,3416.5,3626.9,3947.6,7273.9,14507.8,21100.4,3431.6
scenario_sweep,hybrid,cross_zone_buy_sweep,4.192,48216,54012,57456,68796,89754,108444,191688,54239.6,11502.0,12884.7,13706.3,16411.4,21411.0,25869.5,45727.6,12939.0
scenario_sweep,hybrid,cross_zone_sell_sweep,4.192,52374,58044,60732,73080,100842,119658,234822,58064.8,12493.9,13846.5,14487.7,17433.4,24056.1,28544.7,56017.3,13851.5
scenario_sweep,tree,small_buy_sweep,4.192,1722,1932,2100,2226,4116,16002,59220,1947.1,410.8,460.9,501.0,531.0,981.9,3817.3,14127.1,464.5
scenario_sweep,tree,small_sell_sweep,4.192,1680,1890,2058,2142,4116,16128,74970,1908.5,400.8,450.9,490.9,511.0,981.9,3847.4,17884.3,455.3
scenario_sweep,tree,medium_buy_sweep,4.192,6426,7266,7770,8736,21126,27804,109704,7341.9,1532.9,1733.3,1853.6,2084.0,5039.7,6632.7,26170.1,1751.4
scenario_sweep,tree,medium_sell_sweep,4.192,6342,7140,7560,8526,20958,27552,138348,7210.7,1512.9,1703.3,1803.5,2033.9,4999.6,6572.6,33003.2,1720.1
scenario_sweep,tree,large_buy_sweep,4.192,15372,17430,18438,19488,32046,36708,118020,17501.9,3667.0,4158.0,4398.4,4648.9,7644.6,8756.8,28153.9,4175.1
scenario_sweep,tree,large_sell_sweep,4.192,15162,17010,17892,18396,31668,35994,355614,17047.3,3616.9,4057.8,4268.2,4388.4,7554.5,8586.4,84832.5,4066.7
scenario_sweep,tree,cross_zone_buy_sweep,4.192,44478,49518,52164,63714,79632,100170,394506,49687.8,10610.3,11812.6,12443.8,15199.1,18996.4,23895.8,94110.2,11853.1
scenario_sweep,tree,cross_zone_sell_sweep,4.192,43764,48594,51156,62748,81648,101304,205296,48769.1,10440.0,11592.2,12203.4,14968.7,19477.3,24166.3,48973.8,11634.0
