scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_uniform,fixed_tick,add_order,4.192,126,210,294,378,3654,281778,851970,306.1,30.1,50.1,70.1,90.2,871.7,67218.7,203239.2,73.0
scenario_uniform,fixed_tick,cancel_order,4.192,126,252,336,420,1428,3444,88746,271.0,30.1,60.1,80.2,100.2,340.7,821.6,21170.5,64.6
scenario_uniform,fixed_tick,market_order,4.192,336,8778,16632,18858,33558,65268,269010,8894.6,80.2,2094.0,3967.6,4498.6,8005.3,15569.8,64172.9,2121.8
scenario_uniform,soa,add_order,4.192,126,378,462,546,2184,119490,504882,398.3,30.1,90.2,110.2,130.2,521.0,28504.6,120440.7,95.0
scenario_uniform,soa,cancel_order,4.192,126,294,378,378,1428,3402,88998,297.5,30.1,70.1,90.2,90.2,340.7,811.6,21230.7,71.0
scenario_uniform,soa,market_order,4.192,336,6510,12348,13776,23436,34062,167580,6618.4,80.2,1553.0,2945.6,3286.3,5590.7,8125.6,39976.6,1578.8
scenario_uniform,hybrid,add_order,4.192,126,420,630,798,2016,124782,232428,468.1,30.1,100.2,150.3,190.4,480.9,29767.0,55446.2,111.7
scenario_uniform,hybrid,cancel_order,4.192,168,588,798,1008,1806,15120,389592,587.8,40.1,140.3,190.4,240.5,430.8,3606.9,92938.0,140.2
scenario_uniform,hybrid,market_order,4.192,294,546,756,882,1218,13524,69258,560.5,70.1,130.2,180.3,210.4,290.6,3226.2,16521.6,133.7
scenario_uniform,tree,add_order,4.192,168,420,630,840,2142,184464,313488,479.9,40.1,100.2,150.3,200.4,511.0,44004.3,74783.2,114.5
scenario_uniform,tree,cancel_order,4.192,210,588,840,1092,1680,17220,428232,605.4,50.1,140.3,200.4,260.5,400.8,4107.9,102155.6,144.4
scenario_uniform,tree,market_order,4.192,294,546,756,924,1344,14826,84210,567.7,70.1,130.2,180.3,220.4,320.6,3536.8,20088.5,135.4
