scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
scenario_zipfian,fixed_tick,add_order,4.192,126,168,378,630,5880,300048,860748,281.1,30.1,40.1,90.2,150.3,1402.7,71578.2,205336.4,67.1
scenario_zipfian,fixed_tick,cancel_order,4.192,126,294,924,1302,1638,6090,78162,385.2,30.1,70.1,220.4,310.6,390.8,1452.8,18646.0,91.9
scenario_zipfian,fixed_tick,market_order,4.192,12558,12894,13146,16968,29064,61656,131964,13053.3,2995.8,3075.9,3136.1,4047.8,6933.4,14708.4,31480.8,3113.9
scenario_zipfian,soa,add_order,4.192,126,168,546,1050,3066,139944,521304,264.2,30.1,40.1,130.3,250.5,731.4,33384.5,124360.1,63.0
scenario_zipfian,soa,cancel_order,4.192,126,336,882,1260,1638,12600,68544,402.3,30.1,80.2,210.4,300.6,390.8,3005.8,16351.6,96.0
scenario_zipfian,soa,market_order,4.192,12936,13356,14784,25200,31584,64050,1021020,13715.1,3086.0,3186.2,3526.8,6011.6,7534.5,15279.5,243570.2,3271.8
scenario_zipfian,hybrid,add_order,4.192,126,168,378,588,1512,116550,579390,223.5,30.1,40.1,90.2,140.3,360.7,27803.7,138216.8,53.3
scenario_zipfian,hybrid,cancel_order,4.192,126,294,840,1134,1470,3696,38388,369.8,30.1,70.1,200.4,270.5,350.7,881.7,9157.7,88.2
scenario_zipfian,hybrid,market_order,4.192,294,420,504,840,1008,3318,22260,442.6,70.1,100.2,120.2,200.4,240.5,791.5,5310.3,105.6
scenario_zipfian,tree,add_order,4.192,126,252,504,714,1680,113736,554022,300.4,30.1,60.1,120.2,170.3,400.8,27132.4,132165.2,71.7
scenario_zipfian,tree,cancel_order,4.192,168,378,966,1344,1638,12180,70812,466.1,40.1,90.2,230.4,320.6,390.8,2905.6,16892.6,111.2
scenario_zipfian,tree,market_order,4.192,294,420,672,714,840,4410,74718,444.5,70.1,100.2,160.3,170.3,200.4,1052.0,17824.4,106.0
